2,106400,"2010-10-04 14:00:30"
2,107476,"2012-09-06 11:24:01"
2,108303,"2009-04-11 11:01:30"
2,124850,"2013-04-22 02:43:54"
2,130498,"2009-07-05 23:34:56"
2,136636,"2009-09-16 09:29:44"
2,137028,"2013-05-13 05:51:31"
2,137339,"2008-04-11 10:45:09"
2,137402,"2009-10-22 14:11:57"
2,137582,"2008-09-05 15:12:03"
2,137992,"2008-04-26 18:20:15"
2,140444,"2013-03-13 22:07:38"
2,140634,"2008-12-18 17:09:30"
2,144428,"2009-06-09 02:43:31"
2,146367,"2011-06-03 12:30:30"
2,150377,"2008-04-27 20:39:32"
2,152840,"2013-05-13 20:57:31"
2,155317,"2012-12-09 00:17:34"
2,156309,"2011-02-19 00:57:58"
2,156452,"2012-06-13 07:05:12"
2,157789,"2009-01-25 20:16:17"
2,158007,"2013-06-06 23:21:36"
2,158202,"2009-07-16 03:40:14"
2,158816,"2008-05-12 11:20:01"
2,158860,"2008-11-14 14:19:43"
2,158882,"2008-10-17 20:54:42"
2,158983,"2008-03-25 04:19:44"
2,159051,"2008-04-28 23:08:18"
2,159054,"2010-09-22 18:31:20"
2,159152,"2008-12-10 00:00:34"
2,159194,"2008-05-12 14:01:37"
2,161038,"2012-02-25 23:45:59"
2,162233,"2008-03-22 01:37:42"
2,162235,"2008-03-31 08:34:15"
2,163855,"2009-08-30 07:39:38"
2,164235,"2008-03-22 01:37:42"
2,164497,"2008-10-08 14:56:39"
2,164501,"2008-08-22 02:51:00"
2,164524,"2008-04-25 06:26:21"
2,164605,"2010-01-14 14:27:41"
2,164718,"2009-07-31 18:54:09"
2,167292,"2013-05-20 21:13:01"
2,167467,"2008-04-03 23:29:18"
2,167603,"2008-03-22 01:37:42"
2,168404,"2008-03-22 01:37:42"
2,170691,"2008-07-11 08:59:48"
2,171357,"2008-05-08 00:16:46"
2,171422,"2008-12-22 09:25:25"
2,171565,"2008-03-22 01:37:42"
2,178245,"2008-08-21 16:57:12"
2,180532,"2009-08-17 20:58:57"
2,181277,"2010-02-27 19:33:29"
2,182107,"2012-03-02 16:45:53"
2,183487,"2009-08-31 03:20:10"
2,186597,"2011-02-18 15:52:46"
2,189283,"2008-12-04 20:19:23"
2,190226,"2009-10-13 18:28:07"
2,195745,"2008-06-27 07:51:18"
2,195845,"2009-12-21 19:04:53"
2,196068,"2008-06-01 00:18:27"
2,198591,"2008-03-22 01:37:42"
2,198978,"2008-03-22 01:37:42"
2,199883,"2012-03-03 22:14:03"
2,200859,"2013-07-03 15:56:38"
2,203962,"2010-02-11 22:33:43"
2,205118,"2011-09-28 04:49:26"
2,205130,"2013-07-28 08:26:46"
2,210613,"2011-01-26 13:35:19"
2,217434,"2010-11-21 01:07:07"
2,219001,"2011-03-21 13:47:05"
2,235332,"2009-05-04 21:49:31"
2,241726,"2012-02-09 16:57:36"
2,242933,"2008-06-19 07:32:20"
2,242934,"2008-11-13 13:26:55"
2,242935,"2009-01-26 06:56:42"
2,242936,"2008-04-07 15:11:06"
